,type,topic,subject,data
85,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '2.29056459', 'bestBid': '41912.2', 'bestBidSize': '0.11928578', 'price': '41912.3', 'sequence': '1628076256441', 'size': '0.024', 'time': 1650558727578}"
86,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '17.965686', 'bestBid': '3092.61', 'bestBidSize': '0.9190236', 'price': '3092.61', 'sequence': '1626466735200', 'size': '0.0099939', 'time': 1650558727646}"
87,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '2.2796534', 'bestBid': '41912.2', 'bestBidSize': '4.42708593', 'price': '41912.3', 'sequence': '1628076256481', 'size': '0.024', 'time': 1650558727675}"
88,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '17.959686', 'bestBid': '3092.61', 'bestBidSize': '1.4729103', 'price': '3092.61', 'sequence': '1626466735259', 'size': '0.0099939', 'time': 1650558727746}"
89,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '2.2796534', 'bestBid': '41912.2', 'bestBidSize': '4.4281828', 'price': '41912.3', 'sequence': '1628076256525', 'size': '0.024', 'time': 1650558727776}"
90,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '17.959686', 'bestBid': '3092.61', 'bestBidSize': '2.1228603', 'price': '3092.61', 'sequence': '1626466735296', 'size': '0.0099939', 'time': 1650558727846}"
91,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '2.27403354', 'bestBid': '41912.2', 'bestBidSize': '4.4281828', 'price': '41912.3', 'sequence': '1628076256547', 'size': '0.00561986', 'time': 1650558727876}"
92,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '17.959686', 'bestBid': '3092.61', 'bestBidSize': '2.1228603', 'price': '3092.61', 'sequence': '1626466735333', 'size': '0.0099939', 'time': 1650558727946}"
93,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '1.67134248', 'bestBid': '41912.2', 'bestBidSize': '4.4281828', 'price': '41912.3', 'sequence': '1628076256577', 'size': '0.00269106', 'time': 1650558727975}"
94,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '16.229686', 'bestBid': '3092.61', 'bestBidSize': '3.1228603', 'price': '3092.61', 'sequence': '1626466735397', 'size': '0.0099939', 'time': 1650558728047}"
95,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '1.59976648', 'bestBid': '41912.2', 'bestBidSize': '4.4281828', 'price': '41912.3', 'sequence': '1628076256607', 'size': '0.000286', 'time': 1650558728076}"
96,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '26.439686', 'bestBid': '3092.61', 'bestBidSize': '3.1228603', 'price': '3092.61', 'sequence': '1626466735460', 'size': '0.0099939', 'time': 1650558728146}"
97,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '1.69125019', 'bestBid': '41912.2', 'bestBidSize': '0.12038265', 'price': '41912.3', 'sequence': '1628076256639', 'size': '0.000286', 'time': 1650558728175}"
98,message,/market/ticker:all,ETH-USDT,"{'bestAsk': '3092.62', 'bestAskSize': '25.92113476', 'bestBid': '3092.61', 'bestBidSize': '2.1408103', 'price': '3092.62', 'sequence': '1626466735512', 'size': '0.14992404', 'time': 1650558728246}"
99,message,/market/ticker:all,BTC-USDT,"{'bestAsk': '41912.3', 'bestAskSize': '2.63254019', 'bestBid': '41912.2', 'bestBidSize': '0.12038265', 'price': '41912.3', 'sequence': '1628076256661', 'size': '0.000286', 'time': 1650558728276}"
